author_image,author_name,header_text,body_text,content_link
https://storage.ning.com/topology/rest/1.0/file/get/2800390195?profile=RESIZE_48X48&width=32&height=32&crop=1%3A1,Kurt A Cagle,7 Tips For Posting To Data Science Central, None,https://www.datasciencecentral.com/profiles/blogs/7-tips-for-posting-to-data-science-central
https://storage.ning.com/topology/rest/1.0/file/get/2800390195?profile=RESIZE_48X48&width=32&height=32&crop=1%3A1,Kurt A Cagle,DSC Weekly Digest 26 April 2021, None,https://www.datasciencecentral.com/profiles/blogs/dsc-weekly-digest-26-april-2021
https://storage.ning.com/topology/rest/1.0/file/get/2800341167?profile=RESIZE_48X48&width=32&height=32&crop=1%3A1,ajit jaokar,Mitigating Emerging Cyber Security Threats Using Artificial Intelligence,"Last week, I taught a cybersecurity course at the University of Oxford case. I created a case study for my class based on an excellent recent paper: Deep Learning-Based Autonomous Driving Systems: A Survey of Attacks and Defences (link below)     ",https://www.datasciencecentral.com/profiles/blogs/artificial-intelligence-and-cybersecurity-emerging-cyber-securi-1
https://storage.ning.com/topology/rest/1.0/file/get/2800390195?profile=RESIZE_48X48&width=32&height=32&crop=1%3A1,Kurt A Cagle,DSC Weekly Digest 19 April 2021, None,https://www.datasciencecentral.com/profiles/blogs/dsc-weekly-digest-19-april-2021
https://storage.ning.com/topology/rest/1.0/file/get/933315843?profile=RESIZE_48X48&width=32&height=32&crop=1%3A1,Stephanie Glen,Why you should put Fixed Point Strategies in Your Toolbox, Fixed point strategies can approximate infinite depth.The methods are easy to…,https://www.datasciencecentral.com/profiles/blogs/why-you-should-put-fixed-point-strategies-in-your-toolbox
https://storage.ning.com/topology/rest/1.0/file/get/8812712098?profile=RESIZE_48X48&width=32&height=32&crop=1%3A1,Amit Dogra,A Guide to Amazon Web Services (AWS) – Scalable & Secure Cloud Services,"So even before we put forward and present a case for AWS, why it should be used and most importantly the staggering benefits that come along, it is important to take a stock of who all are using it ?Well from…",https://www.datasciencecentral.com/profiles/blogs/a-complete-guide-to-amazon-web-services-aws-scalable-amp-secure
https://storage.ning.com/topology/rest/1.0/file/get/8815089673?profile=RESIZE_48X48&width=32&height=32&crop=1%3A1,Lauren Groff,Finger On The PULSE: Using AI To Turn Blurry Images Into Hi-Res CGI Faces,For all the photographers out there who haven’t mastered the art of the steady hand: this one’s for you. Researchers at Duke University in North Carolina have applied an AI-based solution…,https://www.datasciencecentral.com/profiles/blogs/finger-on-the-pulse-using-ai-to-turn-blurry-images-into-hi-res
https://storage.ning.com/topology/rest/1.0/file/get/8828912271?profile=RESIZE_48X48&width=32&height=32&crop=1%3A1,Sasa Zelenovic,Honey I Shrunk the Model: Why Big Machine Learning Models Must Go Small,"Bigger is not always better for machine learning. Yet, deep learning models and the datasets on which they’re trained keep expanding, as researchers race to outdo one another while chasing state-of-the-art benchmarks. However groundbreaking they are, the consequences of bigger models are severe for both budgets and the environment alike. For…",https://www.datasciencecentral.com/profiles/blogs/honey-i-shrunk-the-model-why-big-machine-learning-models-must-go
https://storage.ning.com/topology/rest/1.0/file/get/2808682810?profile=original&width=32&height=32&crop=1%3A1,Sam Thomas,Decoding the True Potential of Visual Data with Image Recognition Services,"Image recognition technology has transformed the way visual data is pooled and processed. It offers opportunities similar to the ones portrayed in science fiction movies that make the imagination run wild. Faster detection of objects in real-time with assured accuracy, impressive face recognition mechanics, and improved augmented reality—all are made…",https://www.datasciencecentral.com/profiles/blogs/decoding-the-true-potential-of-visual-data-with-image-recognition
https://storage.ning.com/topology/rest/1.0/file/get/8815957682?profile=RESIZE_48X48&width=32&height=32&crop=1%3A1,McKenzie Foley,How a Data Catalog Enables Data Democratization,"For many organizations, data is a business asset that’s owned by the IT department. Based on this ‘data ownership’ model, there’s limited access to data across the organization, and no transparency around what’s available internally.Now,…",https://www.datasciencecentral.com/profiles/blogs/how-a-data-catalog-enables-data-democratization
